frame,hand_index,angle_thumb_pip,angle_thumb_dip,angle_index_pip,angle_index_dip,angle_middle_pip,angle_middle_dip,angle_ring_pip,angle_ring_dip,angle_pinky_pip,angle_pinky_dip,dist_thumb_index,dist_thumb_middle,dist_thumb_ring,dist_thumb_pinky,dist_index_middle,dist_index_ring,dist_index_pinky,dist_middle_ring,dist_middle_pinky,dist_ring_pinky,thumb_y_rel_wrist,thumb_y_rel_index_mcp,thumb_dist_to_index_mcp,thumb_palm_dist,thumb_adduction_angle
0,0,173.18120376772825,171.15180239713848,175.95479528162952,176.96962351433345,176.22839523453652,177.77269417096178,175.57573968522038,175.55268678666135,174.4836584410497,173.78059031297155,0.4673709639331718,0.5699909332996949,0.5957106109991485,0.5889636861102994,0.11367882602222498,0.185133664563242,0.3359354781069358,0.09710178313009776,0.2940587273432772,0.2082127019437473,-0.1492740511894226,0.15660548210144043,0.2445286133916917,-0.14536474482958817,61.85303696292152
1,0,176.9357419779905,171.16540850008465,176.40379856367994,177.03313857342954,176.19877884010853,177.72459122806862,177.24123035328876,175.4315694573219,174.5004404674442,174.37723311032127,0.4558964115525324,0.5647423025650602,0.5915707071071756,0.5874887165957949,0.11748372960176072,0.19082751910789514,0.3353434742368129,0.10310771368795081,0.29595308041736257,0.20351952296028433,-0.16896319389343262,0.14233970642089844,0.2454345823924329,-0.1500961811319762,60.305808962290996
2,0,175.15872657030476,171.3662704610816,175.8742823178105,176.79078426730305,175.6421191268916,178.42071249833623,176.40161185658266,176.00959586191493,175.26330125443243,174.7635631140791,0.45924964287449677,0.5672056926819737,0.5933090389489117,0.589695712172689,0.11647906811332985,0.18689927496047812,0.33363796027006204,0.09935604758355711,0.29457372218195194,0.20580376957277463,-0.1716151237487793,0.14569777250289917,0.24504382577723768,-0.14590149985715742,60.29325635105534
3,0,175.06972485254903,171.8946430148036,176.132344372962,176.8516123126018,176.03977322189442,178.3711353206766,176.94512455984037,175.87726463224692,174.89295610112984,174.70193098911633,0.4594706366630443,0.5681894097390942,0.5924556565999479,0.5901923375378682,0.11786253645081121,0.1873019033314123,0.3340574913580781,0.09890752236048439,0.29319137695351954,0.20388378743118896,-0.1744588017463684,0.1432720422744751,0.24512800425930278,-0.14585081277304152,59.32556145255973
4,0,175.18487928312547,171.79804686667745,176.1578630178938,176.86828051766838,175.9773640968049,178.4540053826682,176.8478054318058,175.92941511957977,175.06483584011184,174.7571875726872,0.45923029954273115,0.5676900975497224,0.5923866874672239,0.5900741987575274,0.11746706225884543,0.1870838506781082,0.33360243674677453,0.09885150054435982,0.29295632344184963,0.20387350581818434,-0.17526370286941528,0.14287251234054565,0.2448597557456552,-0.14496027070171308,59.43187678231562
5,0,175.13182875364922,171.600784679979,176.14962824202058,176.81806523676505,176.01563949071243,178.46436176053905,176.8769279981881,175.8747775395831,175.1136738409359,174.68995829369146,0.4590070769830182,0.5670769242994402,0.5925507752687971,0.5904073507176896,0.11694255835156009,0.18707223443966547,0.3338824249747046,0.09912871697482027,0.2935110192613494,0.20441010398103507,-0.1776261329650879,0.14208227396011353,0.24478652465392492,-0.14525702452422656,59.55756442904844
6,0,175.36834549099237,171.29310166152433,176.22998061577934,176.70613856226197,176.26316235582274,178.56768677895167,177.19602805934895,176.0271572094734,174.90396855913744,174.81725057670758,0.459675868365351,0.5684283968496858,0.5919927302868632,0.5896762587345193,0.1182088610389965,0.18783414734902576,0.3328964810623768,0.0995437699270025,0.2913271583714462,0.20088083090837464,-0.17768073081970215,0.14172494411468506,0.24572990452923055,-0.14590431557940625,59.50632068420758
7,0,175.58264211604615,171.16553038762115,176.27643642300052,176.7322423820642,176.25773574288192,178.53529840802054,177.17665312053413,175.94425317376732,174.91785207793157,174.73291983042273,0.4593374317205753,0.5685301600204045,0.5917359780596418,0.5893914275973058,0.11856821443357625,0.18804041164515778,0.33296601869070014,0.09984561524377855,0.291620848117318,0.20075497056181105,-0.17795664072036743,0.14132964611053467,0.24542179048785911,-0.1458003057492316,59.538981413966404
8,0,175.08035753590954,171.31192499282278,176.20111675286338,176.74868025747466,176.05331916432857,178.57151374058444,176.99725604126982,175.9853751587355,174.94718910804752,174.73938696314204,0.46041918324024594,0.5689965544463836,0.5940777644985279,0.5902525755486847,0.1177629339646525,0.188463521984634,0.33309301819203463,0.10008105515698584,0.29230834388952104,0.2021582814136146,-0.17679059505462646,0.1427617073059082,0.24589660380445041,-0.14469156506812386,59.440585028053604
9,0,175.511124422032,171.22487975143002,176.17977762257905,176.77100457891,176.0428952520076,178.55233929038994,177.0261302910898,176.01557014834592,174.99327179046725,174.7933681939229,0.45994641157310023,0.567925589190529,0.5932662088581417,0.5898003631196003,0.11707167254490525,0.18777504089621322,0.33278015937918426,0.09980098544411922,0.292206118611334,0.20239316323892986,-0.17757636308670044,0.14185452461242676,0.24544201110378489,-0.1448243451423691,59.69341852378132
