frame,hand_index,angle_thumb_pip,angle_thumb_dip,angle_index_pip,angle_index_dip,angle_middle_pip,angle_middle_dip,angle_ring_pip,angle_ring_dip,angle_pinky_pip,angle_pinky_dip,dist_thumb_index,dist_thumb_middle,dist_thumb_ring,dist_thumb_pinky,dist_index_middle,dist_index_ring,dist_index_pinky,dist_middle_ring,dist_middle_pinky,dist_ring_pinky,thumb_y_rel_wrist,thumb_y_rel_index_mcp,thumb_dist_to_index_mcp,thumb_palm_dist,thumb_adduction_angle,index_fret_idx,index_string_idx,index_fret_dist_px,middle_fret_idx,middle_string_idx,middle_fret_dist_px,ring_fret_idx,ring_string_idx,ring_fret_dist_px,pinky_fret_idx,pinky_string_idx,pinky_fret_dist_px
0,0,153.09747966940915,174.65143159414586,89.35205740543732,165.11420011266722,108.89370907306375,167.15512716688934,133.8115103004407,169.71620336715947,111.68170990053022,171.13753614547906,0.06124568083163826,0.05127646714044624,0.06771946181373953,0.0988190183894706,0.0307151471335095,0.0825481940119224,0.1025628929689094,0.05823655037218911,0.09069373950076837,0.05068036775218722,-0.10005635023117065,0.02367943525314331,0.10156813340286282,0.10037149721289813,39.62408188144584,,,,,,,,,,,,
1,0,163.3329211285619,171.28109599976176,105.9866185363037,159.4750242901746,147.90700839335744,171.27894586833764,153.87580766439748,168.165756433421,135.05133018205376,169.68017786337163,0.029327857012114218,0.07556966862931207,0.08426283887832393,0.10715423828832052,0.06974277335046167,0.07998628121999288,0.10850605853521215,0.020392809663865433,0.06293819225006729,0.04312997777086989,-0.12002754211425781,0.008101582527160645,0.056548080373624875,0.055829981368101515,28.966741292291417,,,,,,,,,,,,
2,0,167.5419541787179,175.90906153505878,119.39715776564812,162.68436334745903,134.5314727467552,167.14587996767295,151.72228646469617,169.29636594946825,141.25437482537848,162.7211961959332,0.03361998379728325,0.06687397153986482,0.08637125444412393,0.09889505224566646,0.058167963641113755,0.0822280726648931,0.099149678974885,0.026599200386954125,0.05910483004004597,0.04011408863356623,-0.11058330535888672,0.014781951904296875,0.06907484176669619,0.06767728753008133,36.77372367065394,,,,,,,,,,,,
3,0,166.1730995103425,175.49986943467042,107.57242573087063,159.63348445498218,125.7321009247722,163.65397411389787,152.03668374414673,169.23770858442157,142.00757868377823,160.42224562952816,0.03435198070810507,0.06787712254382669,0.09458085186002584,0.10650508069469804,0.05763980699100625,0.09178098266902414,0.10776041267687704,0.03791459867858882,0.0676423788430665,0.039499013778438896,-0.11276185512542725,0.007328212261199951,0.06514157734962063,0.06405565068217753,35.99417497013437,,,,,,,,,,,,
4,0,165.28907626364557,175.04298550952754,120.99912739499084,163.683496210344,162.45914114192053,168.48888413498787,154.81935107115694,165.38720393784078,150.71723622389274,162.3027646275374,0.02574600751727491,0.0817289620559826,0.09543603162662355,0.10166809851740828,0.07153339404387554,0.08872043176877781,0.09428498775616433,0.0427482152878803,0.05356598758890508,0.012344239774653945,-0.10609126091003418,0.016858339309692383,0.06597412352939547,0.06527773607987855,35.51389567740061,,,,,,,,,,,,
5,0,165.98815317505392,173.90421504656425,119.59148981208655,168.39174267102135,163.12851583224625,173.00449675887114,162.1303258442616,171.69257173082914,152.04757099868738,166.1445170788026,0.029421488380137983,0.08342392830238562,0.09668494315914473,0.09812510270759989,0.07943565177465146,0.0939816621708845,0.09366829883533064,0.032892337865134465,0.053620534282238,0.025345902688496808,-0.10073292255401611,0.02002561092376709,0.06398822846383971,0.0628519289620534,31.807004382047417,,,,,,,,,,,,
6,0,162.93391934668412,172.13398265339634,125.84643507648428,165.93280304145574,164.4668163361511,173.50734257307622,159.7750849485919,170.48322027889566,156.17074225933268,167.34840847560054,0.02889866876540411,0.08679631443896278,0.09183255733695794,0.09963917055581231,0.07943169833558075,0.08745538298844603,0.09523703954857807,0.03793952173329714,0.05307413511899862,0.015576453504477858,-0.0940631628036499,0.019532978534698486,0.06361662050250944,0.06281866577113959,30.087376163451363,,,,,,,,,,,,
7,0,166.35436851205975,175.3795653680344,127.72763115047432,164.2452450910918,171.04548886212783,172.57785045631434,158.2984225996893,167.8833251894295,156.44587804529772,167.26774786980837,0.024593686195893878,0.08264457052197582,0.09069289459329365,0.09648624155549909,0.08176549815463911,0.09240710385104701,0.09777284732520657,0.048527448519569534,0.0548367039264276,0.007311540371660208,-0.09469801187515259,0.01786726713180542,0.05923024043689724,0.05779213285219812,27.547045740763195,,,,,,,,,,,,
8,0,162.69319263525676,170.0405990158377,139.0409667076585,168.85100941787235,167.8637024217671,176.59059087303172,160.04805672651335,174.470106810892,154.89815326022443,171.83645449238983,0.03062629401106193,0.08849936823377016,0.09348322192518002,0.0995275932652252,0.06973917208921752,0.07657684991810433,0.0832311000472534,0.040711563391259135,0.0552676381698439,0.014783769542675945,-0.08354437351226807,0.023897767066955566,0.056833489874394065,0.055671825885501985,29.66040205446156,,,,,,,,,,,,
9,0,158.07586021227874,176.3581427555275,99.32875512778975,165.2291527457918,111.8158504498735,164.17172575902634,133.58489533247175,167.3854307481459,111.56363078923174,167.9824592320745,0.04622071828292703,0.045444162288936156,0.06646591268633986,0.1018024710611688,0.015598119244234172,0.0758643475379277,0.09983629640688974,0.06762549443254405,0.09781401812732805,0.05163805692449636,-0.12508893013000488,0.0172121524810791,0.11086063538009357,0.1105995119808154,38.11656961734485,,,,,,,,,,,,
